task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
age,random_forest,0.1,21,16,50-XX,35-49,0
age,random_forest,0.1,21,16,50-XX,50-XX,0
age,hist_gradient_boosting,0.1,21,16,18-24,18-24,56
age,hist_gradient_boosting,0.1,21,16,18-24,25-34,0
age,hist_gradient_boosting,0.1,21,16,18-24,35-49,0
age,hist_gradient_boosting,0.1,21,16,18-24,50-XX,0
age,hist_gradient_boosting,0.1,21,16,25-34,18-24,58
age,hist_gradient_boosting,0.1,21,16,25-34,25-34,0
age,hist_gradient_boosting,0.1,21,16,25-34,35-49,0
age,hist_gradient_boosting,0.1,21,16,25-34,50-XX,0
age,hist_gradient_boosting,0.1,21,16,35-49,18-24,20
age,hist_gradient_boosting,0.1,21,16,35-49,25-34,0
age,hist_gradient_boosting,0.1,21,16,35-49,35-49,0
age,hist_gradient_boosting,0.1,21,16,35-49,50-XX,0
age,hist_gradient_boosting,0.1,21,16,50-XX,18-24,8
age,hist_gradient_boosting,0.1,21,16,50-XX,25-34,0
age,hist_gradient_boosting,0.1,21,16,50-XX,35-49,0
age,hist_gradient_boosting,0.1,21,16,50-XX,50-XX,0
age,mlp,0.1,21,16,18-24,18-24,3
age,mlp,0.1,21,16,18-24,25-34,14
age,mlp,0.1,21,16,18-24,35-49,21
age,mlp,0.1,21,16,18-24,50-XX,18
age,mlp,0.1,21,16,25-34,18-24,4
age,mlp,0.1,21,16,25-34,25-34,17
age,mlp,0.1,21,16,25-34,35-49,12
age,mlp,0.1,21,16,25-34,50-XX,25
age,mlp,0.1,21,16,35-49,18-24,0
age,mlp,0.1,21,16,35-49,25-34,6
age,mlp,0.1,21,16,35-49,35-49,4
age,mlp,0.1,21,16,35-49,50-XX,10
age,mlp,0.1,21,16,50-XX,18-24,0
age,mlp,0.1,21,16,50-XX,25-34,3
age,mlp,0.1,21,16,50-XX,35-49,3
age,mlp,0.1,21,16,50-XX,50-XX,2
age,logistic_regression,0.1,34,16,18-24,18-24,47
age,logistic_regression,0.1,34,16,18-24,25-34,9
age,logistic_regression,0.1,34,16,18-24,35-49,0
age,logistic_regression,0.1,34,16,18-24,50-XX,0
age,logistic_regression,0.1,34,16,25-34,18-24,31
age,logistic_regression,0.1,34,16,25-34,25-34,27
age,logistic_regression,0.1,34,16,25-34,35-49,0
age,logistic_regression,0.1,34,16,25-34,50-XX,0
age,logistic_regression,0.1,34,16,35-49,18-24,14
age,logistic_regression,0.1,34,16,35-49,25-34,6
age,logistic_regression,0.1,34,16,35-49,35-49,0
age,logistic_regression,0.1,34,16,35-49,50-XX,0
age,logistic_regression,0.1,34,16,50-XX,18-24,6
age,logistic_regression,0.1,34,16,50-XX,25-34,2
age,logistic_regression,0.1,34,16,50-XX,35-49,0
age,logistic_regression,0.1,34,16,50-XX,50-XX,0
age,random_forest,0.1,34,16,18-24,18-24,41
age,random_forest,0.1,34,16,18-24,25-34,15
age,random_forest,0.1,34,16,18-24,35-49,0
age,random_forest,0.1,34,16,18-24,50-XX,0
age,random_forest,0.1,34,16,25-34,18-24,27
age,random_forest,0.1,34,16,25-34,25-34,31
age,random_forest,0.1,34,16,25-34,35-49,0
age,random_forest,0.1,34,16,25-34,50-XX,0
age,random_forest,0.1,34,16,35-49,18-24,8
age,random_forest,0.1,34,16,35-49,25-34,12
age,random_forest,0.1,34,16,35-49,35-49,0
age,random_forest,0.1,34,16,35-49,50-XX,0
age,random_forest,0.1,34,16,50-XX,18-24,3
age,random_forest,0.1,34,16,50-XX,25-34,5
age,random_forest,0.1,34,16,50-XX,35-49,0
